primary_mass_msun,secondary_mass_msun,total_mass_msun,chi1,chi2,acceleration_s_inv,psd,f_low_hz,f_isco_hz,stage,method,fsd_order,mismatch
21.0,10.5,31.5,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,139.58761382680404,inspiral,FSD,1,2.5197770681106846e-07
21.0,10.5,31.5,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,139.58761382680404,merger-ringdown,FSD,1,1.354338863279736e-11
21.0,10.5,31.5,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,139.58761382680404,full,FSD,1,2.1662906457553532e-07
21.0,10.5,31.5,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,139.58761382680404,inspiral,SPA+PN,,4.193271685437594e-08
21.0,10.5,31.5,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,139.58761382680404,merger-ringdown,SPA+PN,,1.4575340934186443e-11
21.0,10.5,31.5,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,139.58761382680404,full,SPA+PN,,4.343094450742768e-08
30.875,15.4375,46.3125,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,94.94218268381813,inspiral,FSD,1,3.20359772043588e-09
30.875,15.4375,46.3125,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,94.94218268381813,merger-ringdown,FSD,1,4.94637664161246e-12
30.875,15.4375,46.3125,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,94.94218268381813,full,FSD,1,2.5703672523746945e-09
30.875,15.4375,46.3125,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,94.94218268381813,inspiral,SPA+PN,,1.1270761324233547e-08
30.875,15.4375,46.3125,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,94.94218268381813,merger-ringdown,SPA+PN,,6.859735002251455e-12
30.875,15.4375,46.3125,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,94.94218268381813,full,SPA+PN,,1.0172375497496944e-08
40.75,20.375,61.125,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,71.93472123589902,inspiral,FSD,1,4.929843200329742e-10
40.75,20.375,61.125,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,71.93472123589902,merger-ringdown,FSD,1,2.793099085351969e-12
40.75,20.375,61.125,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,71.93472123589902,full,FSD,1,3.503801693227615e-10
40.75,20.375,61.125,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,71.93472123589902,inspiral,SPA+PN,,4.022918331791914e-09
40.75,20.375,61.125,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,71.93472123589902,merger-ringdown,SPA+PN,,5.81668047061612e-12
40.75,20.375,61.125,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,71.93472123589902,full,SPA+PN,,3.1474870487713247e-09
50.625,25.3125,75.9375,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,57.9030101800076,inspiral,FSD,1,1.1730472149196203e-10
50.625,25.3125,75.9375,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,57.9030101800076,merger-ringdown,FSD,1,1.5126788710517758e-12
50.625,25.3125,75.9375,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,57.9030101800076,full,FSD,1,7.291534043218917e-11
50.625,25.3125,75.9375,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,57.9030101800076,inspiral,SPA+PN,,1.6263699276208854e-09
50.625,25.3125,75.9375,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,57.9030101800076,merger-ringdown,SPA+PN,,5.794920099333467e-12
50.625,25.3125,75.9375,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,57.9030101800076,full,SPA+PN,,1.1435695723704953e-09
60.5,30.25,90.75,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,48.451899014262565,inspiral,FSD,1,4.141920140199318e-11
60.5,30.25,90.75,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,48.451899014262565,merger-ringdown,FSD,1,6.0137450574870854e-12
60.5,30.25,90.75,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,48.451899014262565,full,FSD,1,2.491984396613134e-11
60.5,30.25,90.75,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,48.451899014262565,inspiral,SPA+PN,,7.762065434846477e-10
60.5,30.25,90.75,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,48.451899014262565,merger-ringdown,SPA+PN,,1.1631362539787915e-11
60.5,30.25,90.75,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,48.451899014262565,full,SPA+PN,,5.156034488251748e-10
70.375,35.1875,105.5625,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,41.65314231421506,inspiral,FSD,1,2.1358692592343687e-11
70.375,35.1875,105.5625,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,41.65314231421506,merger-ringdown,FSD,1,1.0047851439765054e-11
70.375,35.1875,105.5625,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,41.65314231421506,full,FSD,1,1.5601409053545012e-11
70.375,35.1875,105.5625,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,41.65314231421506,inspiral,SPA+PN,,4.1412606677226904e-10
70.375,35.1875,105.5625,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,41.65314231421506,merger-ringdown,SPA+PN,,1.6927681478762224e-11
70.375,35.1875,105.5625,0.0,0.0,0.0001,aLIGOZeroDetHighPower,20.0,41.65314231421506,full,SPA+PN,,2.751624483821047e-10
