primary_mass_msun,secondary_mass_msun,total_mass_msun,chi1,chi2,acceleration_s_inv,psd,f_low_hz,f_isco_hz,stage,method,fsd_order,mismatch
21.0,10.5,31.5,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,139.58761382680404,inspiral,FSD,1,1.981042757914775e-05
21.0,10.5,31.5,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,139.58761382680404,merger-ringdown,FSD,1,9.470202400052585e-14
21.0,10.5,31.5,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,139.58761382680404,full,FSD,1,1.7872650513006683e-05
21.0,10.5,31.5,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,139.58761382680404,inspiral,SPA+PN,,3.888990685041449e-08
21.0,10.5,31.5,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,139.58761382680404,merger-ringdown,SPA+PN,,1.0447198661722723e-13
21.0,10.5,31.5,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,139.58761382680404,full,SPA+PN,,4.3116026526845985e-08
30.875,15.4375,46.3125,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,94.94218268381813,inspiral,FSD,1,1.1321809256781279e-07
30.875,15.4375,46.3125,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,94.94218268381813,merger-ringdown,FSD,1,6.106226635438361e-15
30.875,15.4375,46.3125,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,94.94218268381813,full,FSD,1,9.555460389609749e-08
30.875,15.4375,46.3125,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,94.94218268381813,inspiral,SPA+PN,,9.592135086222697e-09
30.875,15.4375,46.3125,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,94.94218268381813,merger-ringdown,SPA+PN,,2.3869795029440866e-14
30.875,15.4375,46.3125,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,94.94218268381813,full,SPA+PN,,1.0395705407617584e-08
40.75,20.375,61.125,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,71.93472123589902,inspiral,FSD,1,2.992697756276641e-09
40.75,20.375,61.125,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,71.93472123589902,merger-ringdown,FSD,1,3.9246383920499284e-13
