primary_mass_msun,secondary_mass_msun,total_mass_msun,chi1,chi2,acceleration_s_inv,psd,f_low_hz,f_isco_hz,stage,method,fsd_order,mismatch
21.0,10.5,31.5,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,139.58761382680404,inspiral,FSD,1,1.981042757914775e-05
21.0,10.5,31.5,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,139.58761382680404,merger-ringdown,FSD,1,9.470202400052585e-14
21.0,10.5,31.5,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,139.58761382680404,full,FSD,1,1.7872650513006683e-05
21.0,10.5,31.5,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,139.58761382680404,inspiral,FSD,2,1.0250461079941431e-07
21.0,10.5,31.5,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,139.58761382680404,merger-ringdown,FSD,2,9.492406860545088e-14
21.0,10.5,31.5,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,139.58761382680404,full,FSD,2,9.751414753456089e-08
21.0,10.5,31.5,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,139.58761382680404,inspiral,FSD,3,9.077733009732469e-10
21.0,10.5,31.5,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,139.58761382680404,merger-ringdown,FSD,3,9.492406860545088e-14
21.0,10.5,31.5,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,139.58761382680404,full,FSD,3,8.833124232054956e-10
21.0,10.5,31.5,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,139.58761382680404,inspiral,SPA+PN,,3.888990685041449e-08
21.0,10.5,31.5,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,139.58761382680404,merger-ringdown,SPA+PN,,1.0447198661722723e-13
21.0,10.5,31.5,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,139.58761382680404,full,SPA+PN,,4.3116026526845985e-08
30.875,15.4375,46.3125,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,94.94218268381813,inspiral,FSD,1,1.1321809256781279e-07
30.875,15.4375,46.3125,0.0,0.0,1e-05,EinsteinTelescopeP1600143,10.0,94.94218268381813,merger-ringdown,FSD,1,6.106226635438361e-15
