primary_mass_msun,secondary_mass_msun,total_mass_msun,chirp_mass_msun,chi1,chi2,acceleration_s_inv,psd,snr,method,fsd_order,acceleration_uncertainty_s_inv
20.0,10.0,30.0,12.167286837864113,0.0,0.0,1e-08,EinsteinTelescopeP1600143,1000.0,TDS,,1.2209111936862343e-07
20.0,10.0,30.0,12.167286837864113,0.0,0.0,1e-08,EinsteinTelescopeP1600143,1000.0,FSD,3,1.2214846442823503e-07
20.0,10.0,30.0,12.167286837864113,0.0,0.0,1e-08,EinsteinTelescopeP1600143,1000.0,SPA+PN,,1.217586326785393e-07
28.3333333333333,14.16666666666665,42.49999999999995,17.236989686974137,0.0,0.0,1e-08,EinsteinTelescopeP1600143,1000.0,TDS,,3.972413789668041e-07
28.3333333333333,14.16666666666665,42.49999999999995,17.236989686974137,0.0,0.0,1e-08,EinsteinTelescopeP1600143,1000.0,FSD,3,3.97525081003199e-07
28.3333333333333,14.16666666666665,42.49999999999995,17.236989686974137,0.0,0.0,1e-08,EinsteinTelescopeP1600143,1000.0,SPA+PN,,3.951916906730597e-07
36.6666666666667,18.33333333333335,55.00000000000005,22.306692536084228,0.0,0.0,1e-08,EinsteinTelescopeP1600143,1000.0,TDS,,9.656460802730015e-07
36.6666666666667,18.33333333333335,55.00000000000005,22.306692536084228,0.0,0.0,1e-08,EinsteinTelescopeP1600143,1000.0,FSD,3,9.663987366463184e-07
36.6666666666667,18.33333333333335,55.00000000000005,22.306692536084228,0.0,0.0,1e-08,EinsteinTelescopeP1600143,1000.0,SPA+PN,,9.57939638562691e-07
45.0,22.5,67.5,27.376395385194254,0.0,0.0,1e-08,EinsteinTelescopeP1600143,1000.0,TDS,,1.9771074415144907e-06
45.0,22.5,67.5,27.376395385194254,0.0,0.0,1e-08,EinsteinTelescopeP1600143,1000.0,FSD,3,1.9806147004470785e-06
45.0,22.5,67.5,27.376395385194254,0.0,0.0,1e-08,EinsteinTelescopeP1600143,1000.0,SPA+PN,,1.9577964090194713e-06
53.3333333333333,26.66666666666665,79.99999999999994,32.44609823430428,0.0,0.0,1e-08,EinsteinTelescopeP1600143,1000.0,TDS,,3.6212869972087984e-06
53.3333333333333,26.66666666666665,79.99999999999994,32.44609823430428,0.0,0.0,1e-08,EinsteinTelescopeP1600143,1000.0,FSD,3,3.6280970667648112e-06
53.3333333333333,26.66666666666665,79.99999999999994,32.44609823430428,0.0,0.0,1e-08,EinsteinTelescopeP1600143,1000.0,SPA+PN,,3.5776697936653377e-06
61.6666666666667,30.83333333333335,92.50000000000006,37.51580108341437,0.0,0.0,1e-08,EinsteinTelescopeP1600143,1000.0,TDS,,6.112362373899176e-06
61.6666666666667,30.83333333333335,92.50000000000006,37.51580108341437,0.0,0.0,1e-08,EinsteinTelescopeP1600143,1000.0,FSD,3,6.136130464784758e-06
61.6666666666667,30.83333333333335,92.50000000000006,37.51580108341437,0.0,0.0,1e-08,EinsteinTelescopeP1600143,1000.0,SPA+PN,,6.040038416319051e-06
70.0,35.0,105.0,42.5855039325244,0.0,0.0,1e-08,EinsteinTelescopeP1600143,1000.0,TDS,,9.734821717918771e-06
70.0,35.0,105.0,42.5855039325244,0.0,0.0,1e-08,EinsteinTelescopeP1600143,1000.0,FSD,3,9.77384758882858e-06
70.0,35.0,105.0,42.5855039325244,0.0,0.0,1e-08,EinsteinTelescopeP1600143,1000.0,SPA+PN,,9.61139520461513e-06
78.3333333333333,39.16666666666665,117.49999999999994,47.65520678163442,0.0,0.0,1e-08,EinsteinTelescopeP1600143,1000.0,TDS,,1.47914744317382e-05
78.3333333333333,39.16666666666665,117.49999999999994,47.65520678163442,0.0,0.0,1e-08,EinsteinTelescopeP1600143,1000.0,FSD,3,1.4852986460651106e-05
78.3333333333333,39.16666666666665,117.49999999999994,47.65520678163442,0.0,0.0,1e-08,EinsteinTelescopeP1600143,1000.0,SPA+PN,,1.4605717637444727e-05
86.6666666666667,43.33333333333335,130.00000000000006,52.724909630744506,0.0,0.0,1e-08,EinsteinTelescopeP1600143,1000.0,TDS,,2.16313257540508e-05
86.6666666666667,43.33333333333335,130.00000000000006,52.724909630744506,0.0,0.0,1e-08,EinsteinTelescopeP1600143,1000.0,FSD,3,2.172611393873304e-05
86.6666666666667,43.33333333333335,130.00000000000006,52.724909630744506,0.0,0.0,1e-08,EinsteinTelescopeP1600143,1000.0,SPA+PN,,2.138592325126807e-05
95.0,47.5,142.5,57.794612479854536,0.0,0.0,1e-08,EinsteinTelescopeP1600143,1000.0,TDS,,3.0638612829961365e-05
95.0,47.5,142.5,57.794612479854536,0.0,0.0,1e-08,EinsteinTelescopeP1600143,1000.0,FSD,3,3.078150592806063e-05
95.0,47.5,142.5,57.794612479854536,0.0,0.0,1e-08,EinsteinTelescopeP1600143,1000.0,SPA+PN,,3.03619202045794e-05
